clue,answer
A fruit that is often associated with New York City,apple
The opposite of hot,cold
The planet we live on,earth
A color that is also a fruit,orange
Something you use to write on a blackboard,chalk
A season that comes after summer,autumn
A bird that can swim but cannot fly,penguin
The capital of France,paris
A large body of salt water,ocean
A tool used for cutting paper,scissors
The smallest planet in our solar system,mercury
A insect that makes honey,bee
A vehicle that flies in the sky,airplane
The month that comes after December,january
A shape with three sides,triangle
A sweet substance made by bees,honey
A fast animal that runs in the wild,cheetah
Something you wear on your head,hat
A place where you can borrow books,library
A large grey animal with a trunk,elephant
The red fruit often used to make sauce,tomato
A celestial body that shines at night,star
The season after winter when flowers bloom,spring
A device used to tell time on your wrist,watch
A striped animal that looks like a horse,zebra
The liquid inside a pen,ink
A building where people live,house
An instrument with black and white keys,piano
A professional who flies an airplane,pilot
A very tall building in a city,skyscraper
Something you use to shield yourself from rain,umbrella
A cold dessert made from frozen cream,icecream
A bright yellow flower that turns to face the sun,sunflower
A fast vehicle that travels on tracks,train
The joint between your hand and your arm,wrist
A large bird of prey with keen sight,eagle
The day after today,tomorrow
A place where you go to watch movies,cinema
A small insect with eight legs,spider
A piece of furniture you sleep on,bed
A device that takes photographs,camera
The gas we breathe to stay alive,oxygen
A machine that keeps food cold,fridge
A tall necked animal from Africa,giraffe
A hard outer covering of an egg or nut,shell
A person who treats sick people,doctor
A book of maps,atlas
A small metal object used to open a lock,key
A fast run on four legs,gallop
A type of meat from a pig,pork
A sport played with a round ball and feet,soccer
A natural stream of water flowing to the sea,river
A white liquid produced by cows,milk
A hard substance found in the ground,rock
A very large and powerful snake,python
A soft material used for making clothes,cotton
A tool used for hammering nails,hammer
A part of a tree that falls in autumn,leaf
A vehicle with two wheels and an engine,motorcycle
A sweet treat made from cocoa,chocolate
A person who cooks in a restaurant,chef
A small house in the country,cottage
A bright light in the sky during a storm,lightning
A bag carried on your back,backpack
A long thin stick of wax used for light,candle
A bird that says hoot at night,owl
A green fruit with a large pit,avocado
A person who puts out fires,firefighter
A very dry land with lots of sand,desert
A silver metal used for making jewelry,silver
